discography.id,discography.song_name,discography.lyrics,discography.album
29,Sun's Coming Up,"All those things I ever thought
Would never end
To think they're now all memories
Sends me round the bend
To watch her airplane swaying
Coming in to land
There my world is hanging
In someone else's hands
And if I have done something
And you have to let me go
Think of me as someone
Someone that you know
But if I don't hear something
Pretty soon from now
I'll disconnect completely
See how that works out
I wasn't daring
Not much a chancer
Oh my darling
Why won't you answer?
Seven a.m.
Midnight in Dover
Sun's coming up now
I guess it's over
Playing his guitar
While he's dying of cancer
Oh my father
Why won't you answer?
Seven a.m.
Midnight in Dover
Sun's coming up now
I guess it's over",Lonerism
30,Let It Happen,"It's always around me, all this noise
But not really as loud as the voice saying
Let it happen, let it happen (It's gonna feel so good)
Just let it happen, let it happen

All this running around
Trying to cover my shadow
An ocean growing inside
All the others seem shallow
All this running around
Bearing down on my shoulders
I can hear an alarm
Must be morning

I heard about a whirlwind that's coming 'round
It's gonna carry off all that isn't bound
And when it happens, when it happens (I'm gonna be holding on)
So let it happen, let it happen

All this running around
I can't fight it much longer
Something's trying to get out
And it's never been closer
If my ticker fails
Make up some other story
And if I never come back
Tell my mother I'm sorry

I will not vanish and you will not scare me
Try to get through it, try to bounce to it
All the while thinking I might as well do it
They be lovin' someone and I'm not that stupid
Take the next ticket to take the next train
Why would I do it? And you wanna think that


Maybe I was ready all along
Maybe I was ready all along
Maybe I was ready all along
Maybe I was ready all along",Currents
31,Nangs,But is there something more than that?,Currents
32,The Moment,"In the end, it's stronger than I know how to be
And I can't just spend my whole lifetime wondering
I fell in love with the sound of my heels on the wooden floor
I don't want our footsteps to be silent anymore

Want them to be in the moment
Storm clouds are closing in

In the end, it's gone, and there's nothing left to do
But I'm still not certain just how I'm gonna feel

I only know in the moment
And anticipation is growing

It's getting closer, oh
It's getting closer
It's getting closer, oh
It's getting closer (it's right on time)

It's getting closer (closer every day)
It's getting closer (don't cry you'll be okay)
It's getting closer (closer call it a day)
It's getting closer (hold on, breathe if you can)
It's getting closer (I'm not dead yet)
It's getting closer (it's right on time)
It's getting closer (breathe if you can)
It's getting closer (I'm not dead yet)
It's getting closer (right on time)
It's getting closer, oh
It's getting closer",Currents
33,Yes I'm Changing,"I was raging, it was late
In the world my demons cultivate
I felt the strangest emotion but it wasn't hate, for once
Yes I'm changing, yes I'm gone
Yes I'm older, yes I'm moving on
And if you don't think it's a crime you can come along, with me
Life is moving, can't you see
There's no future left for you and me
I was holding and I was searching endlessly
But baby, now there's nothing left that I can do so
So don't be blue
There is another future waiting there for you
I saw it different, I must admit
I caught a glimpse, I'm going after it
They say people never change, but that's bullshit, they do
Yes I'm changing, can't stop it now
And even if I wanted I wouldn't know how
Another version of myself I think I found, at last
And I can't always hide away
Curse indulgence and despise the fame
There's a world out there and it's calling my name
And it's calling yours, girl it's calling yours too
It's calling yours too, it's calling yours too, it's calling yours too
It's calling out for you

Arise and walk, come through
Someone beyond that door is calling out for you
Arise and walk, come through
It's calling out for you
Arise and walk, come through
Someone beyond that door is calling out for you",Currents
34,Eventually,"If only there could be another way to do this
Cause it feels like murder
To put your heart through this
I know I always said that I could never hurt you
Well this is the very very last time I'm ever going to [?]

But I know that I'll be happier
And I know you will too
Said, I know that I'll be happier
And I know you will too

Eventually
Eventually

Wish I could turn you back into a stranger
Cause If I was never in your life
You wouldn't have to change this

But I know that I'll be happier
And I know you will too
Said, I know that I'll be happier
And I know you will too

Eventually
Eventually

And I know just what I've got to do
And it's got to be soon
Cause I know that I'll be happier
And I know you will too

Eventually
Eventually
Eventually
Eventually
Eventually
Eventually
Eventually",Currents
35,The Less I Know The Better,"Someone said they live together
Ran out the door together
She was holding hands with Trevor
Not the greatest feeling ever
Said pull yourself together
You should try your luck with Heather
And I hope they slept together
Oh the less I know the better
The less I know the better

Oh my love, can't you see yourself by my side
No surprise when you're on his shoulder like every night
Oh my love, can't you see a child on my mind
Don't suppose we could convince your lover to change his mind
So goodbye

She said it's not now or never
Waiting years we'll be together
I said better late than never
Just don't make me wait forever
Don't make me wait forever
Don't make me wait forever

Oh my love, can't you see yourself by my side
I don't suppose you could convince your lover to change it's mind
I was doing fine without ya, 'til I saw your face, now I can't erase
Eating in to all his bullshit
Is this what you want, is this who you are?
I was doing fine without ya, 'til I saw your eyes turn away from mine
He's not going where he wants you
Said come on superman, say your stupid line
Said come on superman, say your stupid line
Said come on superman, say your stupid line",Currents
36,Past Life,"I was picking up a suit from the dry cleaners
Which was standard for me
Thursday, 12:30, I got a pretty solid routine these days
I don't know, it just works for me
Anyway, I was leaving I was getting in my car
And I went to adjust the rearview mirror, but in its reflection
Just for a second, I saw a figure, started to trigger
Memories of what I had learned, stopped me in my tracks
Who was that? it was my lover, my lover, from a past life

From a past life (feel like I saw a ghost)
From a past life (so unexpected)
From a past life (I was transfixed)
From a past life

Well, somewhere between a lover and a friend
It was different back then
Surreal, poetic so I'd say, like a bizarre chick flick with a confusing end
But I shut it down, closed it off
The sounds and smells I made myself forget
A cheap solution to block out a friend, but it was real
It just feels like a past life

From a past life (crazy)
From a past life (it takes a lot to trip me out)
For the first time
In a long time

So I go about my day as normal
But I can't seem to pass it off as just a random event
It consumes me
I thought I was moving on but I guess I was just switching off
And now I see my life as the banal slog it instantly became
And I don't know if I can go on the same
But I don't wanna dig up old bones
I mean, I don't even know if she has the same phone number
Who knows? Maybe she does

From a past life
(I guess there's no harm in trying)
From a past life
(What's the worst that could happen?)
For the first time
In a long time
(I tried to say it but it never came out right)
Past life
From a past life (you're not a stranger if you're always on my mind)
For the first time (I know it's late, it just didn't feel right)
In a long time

Hello?",Currents
37,Disciples,"Cause I was still unsure
But it's something I'm used to
And I can tell by your face
No one's ever been rude to you
But I can tell you things
That I can't say to anyone
And you came home today
But you didn't stay very long
Now it's like the world owes you
Walking around like everybody should know you
I wanna be like we used to
But now you're worried cause that means we'd lose you
And I had no idea
What that feeling could do to you
And I could tell you changed
By the people around you
I used to take the long way
Just so I could walk past your door
I used to wait outside
But I guess I won't anymore
There's so much I wanna tell you
So much I wanna tell you",Currents
38,'Cause I'm A Man,"Like the brutal autumn sun
It dawns on me, what have I done?
Saying sorry ain't as good as saying why
But it buys me a little more time
Lost in the moment for a second time
Each fucking doubt I make, unleash a cry
I'm just pathetic, that's the reason why
In desperation, all that you can do is ask me why

Cause I'm a man, woman
Don't always think before I do
Cause I'm a man, woman
That's the only answer I've got for you
Cause I'm a man, woman
Not often proud of what I choose
I'm a human, woman
A greater force I answer to

Once again, as it takes a hold
I am aware I'm not in control
You see, I have a conscience and it's never fooled
But it's prone to be overruled
You wanna know what I always think I'm bind by
You never accept defeat or let it slide
But I have no voice if I don't speak my mind
My weakness is the source of all my pride, I'll tell you why

Cause I'm a man, woman
Don't always think before I do
Cause I'm a man, woman
That's the only answer I've got for you
Cause I'm a man, woman
I'll never be as strong as you
I'm a human, human
A greater force I answer to",Currents
